Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,147500.0,148000.0,143500.0,144000.0,122268.1953125,445332
2016-01-05,143000.0,145000.0,142000.0,143500.0,121843.671875,530496
2016-01-06,144000.0,145000.0,139000.0,140000.0,118871.8515625,769406
2016-01-07,138500.0,140000.0,137500.0,137500.0,116749.1328125,586187
2016-01-08,134500.0,138000.0,133500.0,136500.0,115900.0625,888701
2016-01-11,134500.0,140500.0,134000.0,140000.0,118871.8515625,542749
2016-01-12,140500.0,141500.0,139000.0,139500.0,118447.3203125,386506
2016-01-13,140500.0,141500.0,139500.0,140500.0,119296.4140625,338336
2016-01-14,138500.0,143500.0,136500.0,141000.0,119720.9375,664829
2016-01-15,141000.0,142000.0,136500.0,138500.0,117598.2265625,568653
2016-01-18,137500.0,140000.0,135500.0,139000.0,118022.78125,400716
2016-01-19,138000.0,140000.0,136000.0,140000.0,118871.8515625,332956
2016-01-20,139500.0,140000.0,135500.0,136500.0,115900.0625,544330
2016-01-21,136000.0,138000.0,135500.0,137000.0,116324.59375,455723
2016-01-22,138000.0,140500.0,136500.0,139000.0,118022.78125,551671
2016-01-25,140000.0,140500.0,136000.0,137500.0,116749.1328125,543064
2016-01-26,136500.0,137000.0,134500.0,136000.0,115475.5078125,564584
2016-01-27,135500.0,137000.0,134500.0,137000.0,116324.59375,702981
2016-01-28,135500.0,136500.0,134500.0,135000.0,114626.4375,480730
2016-01-29,135000.0,136000.0,131000.0,133000.0,112928.2578125,990382
2016-02-01,132000.0,132500.0,130500.0,132500.0,112503.71875,689972
2016-02-02,131500.0,132500.0,129000.0,129500.0,109956.4765625,594441
2016-02-03,127500.0,129500.0,126500.0,129000.0,109531.9140625,649021
2016-02-04,130000.0,132500.0,129500.0,132500.0,112503.71875,600523
2016-02-05,132000.0,133500.0,131000.0,133500.0,113352.8046875,513150
2016-02-11,130500.0,132500.0,130500.0,131000.0,111230.1015625,688873
2016-02-12,131500.0,137500.0,131000.0,137000.0,116324.59375,1264899
2016-02-15,137500.0,141500.0,135000.0,139500.0,118447.3203125,879160
2016-02-16,139500.0,142500.0,137500.0,141000.0,119720.9375,524822
2016-02-17,142000.0,147500.0,141000.0,147000.0,124815.4609375,772996
2016-02-18,147500.0,149000.0,145500.0,147000.0,124815.4609375,468798
2016-02-19,147000.0,151000.0,147000.0,149000.0,126513.6171875,477553
2016-02-22,147500.0,148500.0,146000.0,147500.0,125240.0,273335
2016-02-23,148000.0,149000.0,146500.0,149000.0,126513.6171875,250401
2016-02-24,147500.0,150000.0,146500.0,149000.0,126513.6171875,191286
2016-02-25,149500.0,153000.0,145500.0,147000.0,124815.4609375,490265
