Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
10-03-2021,1356.9,1374,1355,1368.15,10820304084,177164,7925984
09-03-2021,1329.5,1350.45,1318.75,1345.55,8696584496,144157,6518173
08-03-2021,1324.8,1346.1,1317.2,1335.75,6830699262,126809,5119392
05-03-2021,1328.5,1340,1305.05,1316.7,8579075404,180930,6486176
04-03-2021,1335,1363.85,1325.9,1330.35,16174961452,225028,12041941
03-03-2021,1319.2,1347,1308,1343.55,12038222652,189231,9056399
02-03-2021,1282.25,1310,1279.2,1304.5,13542927955,182506,10461434
01-03-2021,1263.3,1284.5,1259,1267,7320037307,133035,5756286
26-02-2021,1269,1274.3,1244.75,1253.3,19014856542,296665,15132388
25-02-2021,1288.45,1299.75,1272,1274.55,11279133376,215308,8788221
24-02-2021,1260.05,1276.6,1252,1274.3,5740727001,125315,4537258
23-02-2021,1271.15,1291,1257.55,1266.35,8404181986,237023,6612942
22-02-2021,1295,1308.55,1260,1265.2,9455456934,205288,7371303
19-02-2021,1296.1,1299.5,1276.8,1291.3,6943924609,129418,5389696
18-02-2021,1276,1306,1275,1292.45,8316445821,178755,6437551
17-02-2021,1290.4,1294.5,1275,1281.3,5874133583,142040,4575741
16-02-2021,1314,1319.75,1286,1290.4,8951918994,285705,6896421
15-02-2021,1320,1328.4,1307.1,1309.65,5748561880,143342,4363513
12-02-2021,1305,1323.75,1301.55,1309.8,7608600803,142747,5797875
11-02-2021,1289,1296,1283.05,1292.65,6026438863,128045,4673317
10-02-2021,1295.8,1304.35,1283.6,1296.5,7697265668,175936,5951207
